iter	Passed	Remaining
363	605	1058
364	607	1056
365	608	1054
366	609	1051
367	611	1049
368	612	1047
369	614	1045
370	615	1043
371	616	1041
372	617	1038
373	618	1036
374	620	1033
375	621	1030
376	622	1028
377	623	1025
378	624	1023
379	625	1020
380	626	1018
381	628	1016
382	629	1013
383	630	1010
384	631	1008
385	632	1005
386	633	1002
387	634	1000
388	635	998
389	636	995
390	637	993
391	638	990
392	639	988
393	640	985
394	641	983
395	643	980
396	644	978
397	645	976
398	646	973
399	647	971
400	648	969
401	650	967
402	651	964
403	652	962
404	653	960
405	654	957
406	655	955
407	656	953
408	658	950
409	659	948
410	660	946
411	661	944
412	662	941
413	663	939
414	664	937
415	665	934
416	667	932
417	668	930
418	669	928
419	670	925
420	671	923
421	672	921
422	673	919
423	675	917
424	676	914
425	677	912
426	678	910
427	679	908
428	680	906
429	682	904
430	683	902
431	684	899
432	685	897
433	686	895
434	687	893
435	688	891
436	689	888
437	691	886
438	692	884
439	693	882
440	694	879
441	695	877
442	696	875
443	697	873
444	698	871
445	699	869
446	700	867
447	702	865
448	703	862
449	704	860
450	705	858
451	706	856
452	707	854
453	708	852
454	709	850
455	710	848
456	711	845
457	713	843
458	714	841
459	715	839
460	716	837
461	717	835
462	718	833
463	719	831
464	720	829
465	721	827
466	723	825
467	723	822
468	725	820
469	726	818
470	727	816
471	728	814
472	729	812
473	730	810
474	731	808
475	732	806
476	733	804
477	734	802
478	736	800
479	737	798
480	738	796
481	739	794
482	740	792
483	741	790
484	743	788
485	744	787
486	745	785
487	746	783
488	748	781
489	749	779
490	750	777
491	751	775
492	752	773
493	753	771
494	754	769
495	755	767
496	756	765
497	757	763
498	758	761
499	760	760
500	761	758
501	762	756
502	763	754
503	764	752
504	765	750
505	766	748
506	767	746
507	768	744
508	770	742
509	771	741
510	772	739
511	773	737
512	774	735
513	775	733
514	776	731
515	777	729
516	779	727
517	780	726
518	781	724
519	782	722
520	783	720
521	784	718
522	785	716
523	786	714
524	788	713
525	789	711
526	790	709
527	791	707
528	792	705
529	793	703
530	794	702
531	796	700
532	797	698
533	798	696
534	799	694
535	800	693
536	801	691
537	802	689
538	803	687
539	805	685
540	806	684
541	807	682
542	808	680
543	809	678
544	811	677
545	812	675
546	813	673
547	814	671
548	815	670
549	816	668
550	817	666
551	819	664
552	820	663
553	821	661
554	822	659
555	823	657
556	824	655
557	825	654
558	826	652
559	828	650
560	829	648
561	830	646
562	831	645
563	832	643
564	833	641
565	834	639
566	835	638
567	836	636
568	838	634
569	839	633
570	840	631
571	841	629
572	842	628
573	843	626
574	845	624
575	846	622
576	847	621
577	848	619
578	849	617
579	850	616
580	851	614
581	852	612
582	854	610
583	855	609
584	856	607
585	857	605
586	858	604
587	859	602
588	861	600
589	862	599
590	863	597
591	864	595
592	865	594
593	866	592
594	867	590
595	868	588
596	870	587
597	871	585
598	872	583
599	873	582
600	874	580
601	875	578
602	876	577
603	877	575
604	878	573
605	880	572
606	881	570
607	882	568
608	883	567
609	884	565
610	885	563
611	886	562
612	888	560
613	889	559
614	890	557
615	891	555
616	892	554
617	893	552
618	894	550
619	895	549
620	897	547
621	898	545
622	899	544
623	900	542
624	901	541
625	902	539
626	904	537
627	905	536
628	906	534
629	907	532
630	908	531
631	909	529
632	910	528
633	912	526
634	913	524
635	914	523
636	915	521
637	916	519
638	917	518
639	918	516
640	919	515
641	920	513
642	922	511
643	923	510
644	924	508
645	925	507
646	926	505
647	927	503
648	928	502
649	929	500
650	931	499
651	932	497
652	933	496
653	935	494
654	936	493
655	937	491
656	938	489
657	939	488
658	940	486
659	941	485
660	942	483
661	943	481
662	945	480
663	946	478
664	947	477
665	948	475
666	949	474
667	950	472
668	951	470
669	952	469
670	953	467
671	955	466
672	956	464
673	957	463
674	958	461
675	959	459
676	960	458
677	961	456
678	963	455
679	964	453
680	965	452
681	966	450
682	967	449
683	969	447
684	970	446
685	971	444
686	972	443
687	973	441
688	975	440
689	976	438
690	977	437
691	978	435
692	979	433
693	980	432
694	982	430
695	983	429
696	984	427
697	985	426
698	986	424
699	987	423
700	988	421
701	990	420
702	991	418
703	992	417
704	993	415
705	994	414
706	995	412
707	996	411
708	997	409
709	998	408
710	999	406
711	1001	404
712	1002	403
713	1003	401
714	1004	400
715	1005	398
716	1006	397
717	1007	395
718	1009	394
719	1010	392
720	1011	391
721	1012	389
722	1013	388
723	1014	386
724	1015	385
725	1016	383
726	1018	382
727	1019	380
728	1020	379
729	1021	377
730	1022	376
731	1023	374
732	1024	373
733	1025	371
734	1026	370
735	1028	368
736	1029	367
737	1030	365
738	1031	364
739	1032	362
740	1033	361
741	1034	359
742	1036	358
743	1037	356
744	1038	355
745	1039	354
746	1040	352
747	1042	351
748	1043	349
749	1044	348
750	1045	346
751	1046	345
752	1047	343
753	1048	342
754	1049	340
755	1051	339
756	1052	337
757	1053	336
758	1054	334
759	1055	333
760	1056	331
761	1057	330
762	1058	328
763	1059	327
764	1060	325
765	1061	324
766	1063	322
767	1064	321
768	1065	319
769	1066	318
770	1067	316
771	1068	315
772	1069	314
773	1070	312
774	1071	311
775	1073	309
776	1074	308
777	1075	306
778	1076	305
779	1077	303
780	1078	302
781	1079	301
782	1081	299
783	1082	298
784	1083	296
785	1084	295
786	1085	293
787	1086	292
788	1087	290
789	1088	289
790	1089	287
791	1090	286
792	1092	285
793	1093	283
794	1094	282
795	1095	280
796	1096	279
797	1097	277
798	1098	276
799	1099	274
800	1100	273
801	1101	272
802	1103	270
803	1104	269
804	1105	267
805	1106	266
806	1107	264
807	1108	263
808	1110	262
809	1111	260
810	1112	259
811	1113	257
812	1114	256
813	1115	254
814	1116	253
815	1117	252
816	1118	250
817	1120	249
818	1121	247
819	1122	246
820	1123	244
821	1124	243
822	1125	242
823	1126	240
824	1127	239
825	1129	237
826	1130	236
827	1131	234
828	1132	233
829	1133	232
830	1134	230
831	1135	229
832	1136	227
833	1137	226
834	1139	225
835	1140	223
836	1141	222
837	1142	220
838	1143	219
839	1144	218
840	1145	216
841	1146	215
842	1147	213
843	1149	212
844	1150	210
845	1151	209
846	1152	208
847	1153	206
848	1154	205
849	1155	203
850	1157	202
851	1158	201
852	1159	199
853	1160	198
854	1161	196
855	1162	195
856	1163	194
857	1164	192
858	1165	191
859	1166	189
860	1167	188
861	1169	187
862	1170	185
863	1171	184
864	1172	183
865	1173	181
866	1174	180
867	1175	178
868	1177	177
869	1178	176
870	1179	174
871	1180	173
872	1181	171
873	1182	170
874	1183	169
875	1184	167
876	1185	166
877	1187	164
878	1188	163
879	1189	162
880	1190	160
881	1191	159
882	1192	158
883	1193	156
884	1194	155
885	1196	153
886	1197	152
887	1198	151
888	1199	149
889	1200	148
890	1201	147
891	1202	145
892	1204	144
893	1205	142
894	1206	141
895	1207	140
896	1208	138
897	1209	137
898	1210	136
899	1211	134
900	1212	133
901	1213	131
902	1215	130
903	1216	129
904	1217	127
905	1218	126
906	1219	125
907	1220	123
908	1221	122
909	1222	120
910	1223	119
911	1224	118
912	1225	116
913	1226	115
914	1227	114
915	1228	112
916	1230	111
917	1231	109
918	1232	108
919	1233	107
920	1234	105
921	1235	104
922	1236	103
923	1237	101
924	1238	100
925	1239	99
926	1241	97
927	1242	96
928	1243	95
929	1244	93
930	1245	92
931	1246	90
932	1247	89
933	1248	88
934	1250	86
935	1251	85
936	1252	84
937	1253	82
938	1254	81
939	1255	80
940	1256	78
941	1258	77
942	1259	76
943	1260	74
944	1261	73
945	1262	72
946	1263	70
947	1264	69
948	1265	68
949	1266	66
950	1268	65
951	1269	63
952	1270	62
953	1271	61
954	1272	59
955	1273	58
956	1274	57
957	1275	55
958	1277	54
959	1278	53
960	1279	51
961	1280	50
962	1281	49
963	1282	47
964	1284	46
965	1285	45
966	1286	43
967	1287	42
968	1288	41
969	1289	39
970	1290	38
971	1291	37
972	1292	35
973	1294	34
974	1295	33
975	1296	31
976	1297	30
977	1298	29
978	1300	27
979	1301	26
980	1302	25
981	1303	23
982	1304	22
983	1305	21
984	1306	19
985	1307	18
986	1309	17
987	1310	15
988	1311	14
989	1312	13
990	1313	11
991	1314	10
992	1316	9
993	1317	7
994	1318	6
995	1319	5
996	1320	3
997	1321	2
998	1322	1
999	1323	0
